title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Горілка ORA blue A.E.Dor 0.05 л 40% (3497977113357),Горілка,245,,,5.0,1,Є в наявності,https://rozetka.com.ua/ua/ora_3497977113357/p30830015/,https://content.rozetka.com.ua/goods/images/big_tile/11526486.jpg,
Бренді Lekso 5 років витримки 0.5 л 40% (4860110960795),Бренді,229,284,19,,,Невідомо,https://rozetka.com.ua/ua/lekso-4860110960795/p558203787/,https://content1.rozetka.com.ua/goods/images/big_tile/629089632.jpg,НОВИНКА
Лікер Schwartzhog Krauter Liqueur 1 л 36.7% (4055800018102),Лікер,831,,,,1,Невідомо,https://rozetka.com.ua/ua/schwartzhog-4055800018102/p446994689/,https://content.rozetka.com.ua/goods/images/big_tile/482180999.jpg,
Джин London Hill Dry 1 л 43% (5010852000221),Джин,868,,,,3,Невідомо,https://rozetka.com.ua/ua/london_hill_5010852000221/p33211895/,https://content2.rozetka.com.ua/goods/images/big_tile/215644520.png,
Горілка Українська Душа Органічна Ukrainian Soul Organic 0.5 л 40% (4820261821246),Горілка,139,179,22,3.0,1,Невідомо,https://rozetka.com.ua/ua/bez-brenda-4820261821246/p436749440/,https://content.rozetka.com.ua/goods/images/big_tile/443415114.jpg,КРАФТ УКРАЇНИ
Напій міцний плодовий Witch Water Грушовиця 0.5 л 40% (4820269290297),Напій,398,474,16,,,Невідомо,https://rozetka.com.ua/ua/witch-water-4820269290297/p436880042/,https://content2.rozetka.com.ua/goods/images/big_tile/443646428.jpg,КРАФТ УКРАЇНИ
Бренді Gurji Extra Old 7 * 0.5 л 40% (4860109850168),Бренді,399,,,4.3,12,Невідомо,https://rozetka.com.ua/ua/gurji_4860109850168/p290437918/,https://content2.rozetka.com.ua/goods/images/big_tile/174509111.jpg,
Горілка DISTIL.№9 Salted Karamel 0.5 л 38% (4820139240964_4820294060193),Горілка,192,329,42,,1,Невідомо,https://rozetka.com.ua/ua/9-4820139240964/p488408799/,https://content.rozetka.com.ua/goods/images/big_tile/522727765.jpg,
Джин Stirling Pink Gin 1 л 37.5% (8711114489545),Джин,580,672,14,,,Є в наявності,https://rozetka.com.ua/ua/stirling-8711114489545/p467796384/,https://content1.rozetka.com.ua/goods/images/big_tile/519292466.jpg,−14%
Бренді ординарний Ardamiani витримка три роки 0.25 л 40% (4860128440029),Бренді,109,135,19,,,Готово до відправки,https://rozetka.com.ua/ua/bez-brenda-4860128440029/p535376979/,https://content2.rozetka.com.ua/goods/images/big_tile/585117383.jpg,−19%
Віскі Barclays Blended 3 роки витримки 0.7 л 40% (5010852000917),Віскі,329,487,32,3.0,7,Невідомо,https://rozetka.com.ua/ua/barclays_5010852000917/p204912643/,https://content.rozetka.com.ua/goods/images/big_tile/23696164.jpg,−32%
Джин Berkshire Botanical Dry Gin 0.5 л 40.3% (5011166067207),Джин,795,,,5.0,3,Готово до відправки,https://rozetka.com.ua/ua/berkshire-botanical-5011166067207/p359591376/,https://content1.rozetka.com.ua/goods/images/big_tile/297359166.jpg,
Бренді Duruji Valley 7 років витримки 0.5 л 40% (4867601066004D),Бренді,516,,,,,Невідомо,https://rozetka.com.ua/ua/duruji-valley-4867601066004d/p454244243/,https://content2.rozetka.com.ua/goods/images/big_tile/480418612.png,
Бренді Maison Royale XO 40% 0.7 л (3281463454051),Бренді,514,577,11,1.0,2,Невідомо,https://rozetka.com.ua/ua/maison-royale-pa002850/p472814519/,https://content2.rozetka.com.ua/goods/images/big_tile/587984040.jpg,−11%
Горілка XAOMA Оригінальна 0.7 л 40% (4870031006489),Горілка,215,300,28,5.0,1,Готово до відправки,https://rozetka.com.ua/ua/xaoma_4870031006489/p366694467/,https://content1.rozetka.com.ua/goods/images/big_tile/312390297.jpg,−28%
Віскі Jim Beam White 4 роки витримки 0.2 л 40% (5060045586322_5010278100796),Віскі,210,269,22,2.8,7,Невідомо,https://rozetka.com.ua/ua/jim_beam_5060045586322/p28856009/,https://content.rozetka.com.ua/goods/images/big_tile/56205306.jpg,−22%
Настоянка Хані Баджер На вощині 0.5 л 37% (4820214140080),Настоянка,349,420,17,3.5,7,Готово до відправки,https://rozetka.com.ua/ua/hani_badger_4820214140080/p90031700/,https://content.rozetka.com.ua/goods/images/big_tile/514972393.jpg,
Текіла Padre Azul Anejo 0.05 л 40% (9120066430878),Текіла,625,,,,,Невідомо,https://rozetka.com.ua/ua/padre-azul-9120066430878/p559617369/,https://content1.rozetka.com.ua/goods/images/big_tile/622924707.jpg,НОВИНКА
Напій алкогольний Відьомська вода Смородина десертний плодовий 0.5 л 17.5% (4820269290440),Напій,279,327,15,,,Невідомо,https://rozetka.com.ua/ua/witch-water-4820269290440/p455353799/,https://content2.rozetka.com.ua/goods/images/big_tile/482216219.jpg,
Бренді Прошян 5 років витримки 0.5 л 40% (4850025632726),Бренді,349,484,28,4.5,2,Невідомо,https://rozetka.com.ua/ua/proshyan_4850025632726/p324768112/,https://content2.rozetka.com.ua/goods/images/big_tile/483795783.jpg,−28%
Міцний алкогольний напій Alexandrion 5* 0.7 л 37.5% (5942122000016_5942122003581_5942122012835),Міцний,432,,,2.0,6,Невідомо,https://rozetka.com.ua/ua/alexandrion_5942122000016/p74203977/,https://content1.rozetka.com.ua/goods/images/big_tile/13698696.jpg,
Віскі Glen Moray Sherry 6 років витримки 0.05 л 40% (5060116323672),Віскі,172,,,,,Невідомо,https://rozetka.com.ua/ua/glen-moray-5060116323672/p461404964/,https://content2.rozetka.com.ua/goods/images/big_tile/489958698.jpg,
Ром Don Q Gold 1.0 л 40% (8414606874040),Ром,951,,,5.0,1,Невідомо,https://rozetka.com.ua/ua/serralles_8414606874040/p321006400/,https://content1.rozetka.com.ua/goods/images/big_tile/249729535.jpg,
Горілка особлива Nemiroff Originals Оригінал 40% 0.37 л (4820181420604),Горілка,109,125,13,5.0,1,Невідомо,https://rozetka.com.ua/ua/nemiroff-4820181420604/p393579006/,https://content2.rozetka.com.ua/goods/images/big_tile/361088204.jpg,
