title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Винний напій ігристий ароматизований Фраголіно Fiorelli Rosso червоний солодке 0.75 л (8002915000603),Винний,249,339,27,4.7,114,Невідомо,https://rozetka.com.ua/ua/fiorelli_8002915000603/p7679402/,https://content1.rozetka.com.ua/goods/images/big_tile/4879350.jpg,АКЦІЯ
Вино ігристе Borgo Sole Prosecco DOC Brut біле сухе 0.75 л 11% (8008820162375_UA),Вино,365,516,29,5.0,3,Готово до відправки,https://rozetka.com.ua/ua/borgo_sole_8008820162375_ua/p393043656/,https://content2.rozetka.com.ua/goods/images/big_tile/360093400.jpg,−29%
Вино Verga Le Rovole Vino Rosso червоне сухе 5 л (8000128010518),Вино,659,879,25,4.1,74,Готово до відправки,https://rozetka.com.ua/ua/verga_8000128010518/p15203590/,https://content.rozetka.com.ua/goods/images/big_tile/605927683.jpg,−25%
Вино ігристе Артемівське рожеве напівсухе 0.75 л 10-13.5% (4820003350171_4820271510017),Вино,229,279,18,4.5,23,Невідомо,https://rozetka.com.ua/ua/artemovskoe_4820003350171/p5851317/,https://content.rozetka.com.ua/goods/images/big_tile/328492232.jpg,
Вино Leleka Wines Merlot червоне сухе 0.75 л (4820004385240),Вино,219,299,27,4.3,29,Готово до відправки,https://rozetka.com.ua/ua/leleka_4820004385240/p257695491/,https://content2.rozetka.com.ua/goods/images/big_tile/35797044.jpg,
Вино Misilla Nero D'Avola Sicilia DOC червоне сухе 1.5 л 13% (8017437003889),Вино,369,440,16,5.0,14,Невідомо,https://rozetka.com.ua/ua/misilla-8017437003889/p376066362/,https://content.rozetka.com.ua/goods/images/big_tile/329738803.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Terra Sacra Prosecco Rose Brut DOC Serena рожеве сухе 0.75 л 11% (8053782390243),Вино,349,519,33,5.0,3,Невідомо,https://rozetka.com.ua/ua/terra-sacra-8053782390243/p490031114/,https://content.rozetka.com.ua/goods/images/big_tile/524718721.jpg,−33%
Вино Gazela Vinho Verde біле напівсухе 0.75 л (5601012045505),Вино,259,292,11,4.8,57,Готово до відправки,https://rozetka.com.ua/ua/gazela_5601012045505/p11375249/,https://content1.rozetka.com.ua/goods/images/big_tile/219853342.jpg,−11%
Вино ігристе Casa Farive Prosecco Millesimato Brut DOC біле брют 0.75 л 11% (8020502005039),Вино,289,500,42,3.0,3,Готово до відправки,https://rozetka.com.ua/ua/casa-farive-8020502005039/p475923539/,https://content2.rozetka.com.ua/goods/images/big_tile/509197836.jpg,−42%
Вино ігристе 1821 Vintage Bolgrad рожеве брют 0.75 л 10-13.5% (4820197562206),Вино,169,239,29,4.1,22,Невідомо,https://rozetka.com.ua/ua/bolgrad_4820197562206/p303626953/,https://content1.rozetka.com.ua/goods/images/big_tile/185594974.jpg,
